tis,data
1502102275,4.18
1502102514,4.147
1502102752,4.147
1502102992,4.125
1502103230,4.136
1502103470,4.048
1502103709,4.048
1502103948,4.015
1502104187,3.982
1502104426,4.015
1502104665,3.982
1502104904,3.949
1502105143,3.905
1502105382,3.927
1502105622,3.828
1502105860,3.762
1502106100,3.751
1502106338,3.795
1502106578,3.729
1502106817,3.707
1502107055,3.707
1502107295,3.707
1502107534,3.707
1502107773,3.707
1502108012,3.707
1502108251,3.707
1502108490,3.707
1502108730,3.707
1502108968,3.707
1502109207,3.707
1502109446,3.707
1502109685,3.707
1502109925,3.707
1502110163,3.707
1502110403,3.707
1502110642,3.707
1502110881,3.707
1502111120,3.707
1502111359,3.707
1502111598,3.707
1502111838,3.718
1502112076,3.707
1502112315,3.707
1502112554,3.707
1502112793,3.707
1502113033,3.707
1502113271,3.707
1502113511,3.707
1502113749,3.707
1502113989,3.707
1502114228,3.707
1502114466,3.696
1502114706,3.707
1502114945,3.773
1502115184,3.784
1502115423,3.707
1502115661,3.641
1502115901,3.498
1502116141,3.487
1502116379,3.487
1502116618,3.487
1502116858,3.498
1502117096,3.487
1502117336,3.498
1502117574,3.498
1502117814,3.498
1502118053,3.498
1502118291,3.355
1502118531,3.344
1502118770,3.344
1502119009,3.355
1502119248,3.344
1502119504,0.572
1502119740,3.245
1502119979,3.344
1502120218,3.344
1502120457,3.344
1502120697,3.344
1502120935,3.344
1502121175,3.344
1502121413,3.344
1502121652,3.344
1502121892,3.333
1502122130,3.344
1502122370,3.344
1502122608,3.344
1502122848,3.344
1502123087,3.344
1502123326,3.344
1502123565,3.344
1502123804,3.344
1502124043,3.344
1502124282,3.344
1502124521,3.355
1502124760,3.344
1502125000,3.344
1502125238,3.344
1502125478,3.344
1502125717,3.355
1502125955,3.355
1502126195,3.355
1502126433,3.344
1502126673,3.344
1502126912,3.355
1502127151,3.344
1502127390,3.344
1502127630,3.333
1502127868,3.344
1502128107,3.344
1502128346,3.344
1502128585,3.344
1502128825,3.344
1502129063,3.344
1502129303,3.344
1502129542,3.344
1502129781,3.344
1502130020,3.344
1502130258,3.344
1502130498,3.344
1502130737,3.344
1502130976,3.344
1502131215,3.344
1502131454,3.344
1502131693,3.333
1502131933,3.344
1502132171,3.344
1502132411,3.344
1502132649,3.344
1502132888,3.344
1502133128,3.344
1502133366,3.344
1502133606,3.344
1502133845,3.344
1502134084,3.344
1502134323,3.344
1502134561,3.344
1502134801,3.344
1502135040,3.344
1502135279,3.344
1502135518,3.344
1502135758,3.344
1502135996,3.344
1502136236,3.344
1502136474,3.344
1502136714,3.344
1502136953,3.344
1502137191,3.344
1502137431,3.333
1502137669,3.344
1502137909,3.344
1502138148,3.344
1502138387,3.344
1502138626,3.344
1502138866,3.344
1502139104,3.344
1502139343,3.344
1502139582,3.344
1502139821,3.344
1502140061,3.344
1502140299,3.344
1502140539,3.344
1502140778,3.355
1502141016,3.344
1502141256,3.344
1502141494,3.355
1502141734,3.333
1502141973,3.333
1502142212,3.344
1502142451,3.344
1502142690,3.344
1502142929,3.344
1502143168,3.344
1502143407,3.344
1502143646,3.333
1502143886,3.344
1502144124,3.344
1502144364,3.344
1502144602,3.344
1502144842,3.278
1502145081,3.047
1502145320,2.904
1502145559,2.915
1502145798,2.904
1502146037,2.904
1502146276,2.849
1502146515,2.904
1502146754,2.86
1502146993,2.849
1502147232,2.728
1502147471,2.849
1502147711,2.706
1502147949,2.673
1502148189,2.706
1502148427,2.684
1502148667,2.673
1502148906,2.673
1502149145,2.673
1502149384,2.651
1502149623,2.651
1502149862,2.629
1502150101,2.618
1502150340,2.618
1502150579,2.618
1502150819,2.618
1502151057,2.618
1502151296,2.629
1502151536,2.629
1502151774,2.618
1502152014,2.618
1502152252,2.618
1502152492,2.651
1502152731,2.629
1502152970,2.629
1502153209,2.629
1502153448,2.629
1502153687,2.618
1502153926,2.585
1502154165,2.618
1502154404,2.519
1502154644,2.464
1502154882,2.464
1502155121,2.53
1502155361,2.453
1502155599,2.508
1502155839,2.618
1502156077,2.486
1502156317,2.453
1502156556,2.453
1502156795,2.464
1502157034,2.464
1502157273,2.453
1502157512,2.464
1502157751,2.453
1502157990,2.464
1502158229,2.464
1502158469,2.464
1502158707,2.464
1502158947,2.453
1502159185,2.464
1502159425,2.464
1502159664,2.464
1502159902,2.453
1502160142,2.464
1502160381,2.464
1502160620,2.464
1502160859,2.519
1502161098,2.541
1502161337,2.464
1502161577,2.464
1502161815,2.453
1502162054,2.464
1502162293,2.453
1502162532,2.453
1502162772,2.464
1502163010,2.464
1502163250,2.453
1502163489,2.464
1502163728,2.464
1502163967,2.464
1502164205,2.464
1502164445,2.464
1502164684,2.464
1502164923,2.464
1502165162,2.464
1502165401,2.453
1502165640,2.464
1502165880,2.464
1502166118,2.453
1502166357,2.453
1502166597,2.464
1502166835,2.453
1502167075,2.453
1502167314,2.464
1502167553,2.464
1502167792,2.464
1502168030,2.453
1502168270,2.464
1502168509,2.453
1502168748,2.552
1502168987,2.453
1502169226,2.464
1502169465,2.464
1502169705,2.453
1502169943,2.464
1502170182,2.464
1502170422,2.464
1502170660,2.464
1502170900,2.464
1502171138,2.464
1502171378,2.464
1502171617,2.464
1502171856,2.464
1502172095,2.475
1502172334,2.453
1502172573,2.497
1502172812,2.475
1502173051,2.464
1502173290,2.453
1502173529,2.453
1502173768,2.442
1502174008,2.42
1502174246,2.464
1502174486,2.464
1502174725,2.453
1502174963,2.453
1502175203,2.475
1502175441,2.464
1502175681,2.585
1502175920,2.453
1502176159,2.596
1502176398,2.464
1502176637,2.464
1502176876,2.464
1502177115,2.453
1502177355,2.464
1502177593,2.464
1502177833,2.464
1502178071,2.453
1502178311,2.464
1502178550,2.453
1502178788,2.464
1502179028,2.464
1502179267,2.464
1502179506,2.464
1502179745,2.464
1502179984,2.453
1502180223,2.464
1502180223,2.464
1502180462,2.464
1502180701,2.464
1502180940,2.464
1502181180,2.464
1502181418,2.464
1502181658,2.464
1502181896,2.464
1502182135,2.464
1502182375,2.464
1502182613,2.464
1502182853,2.453
1502183091,2.453
1502183331,2.464
1502183570,2.453
1502183809,2.453
1502184048,2.464
1502184288,2.453
1502184526,2.464
1502184765,2.464
1502185004,2.464
1502185243,2.464
1502185483,2.453
1502185721,2.453
1502185961,2.453
1502186199,2.464
1502186439,2.453
1502186678,2.464
1502186916,2.464
1502187156,2.464
1502187395,2.453
1502187634,2.464
1502187873,2.464
1502188112,2.453
1502188351,2.453
1502188591,2.453
1502188829,2.464
1502189068,2.464
1502189308,2.464
1502189546,2.464
1502189786,2.464
1502190024,2.464
1502190264,2.453
1502190503,2.464
1502190741,2.453
1502190981,2.453
1502191220,2.453
1502191220,2.453
1502191459,2.453
1502191698,2.464
1502191937,2.464
1502192176,2.453
1502192416,2.453
1502192654,2.464
1502192893,2.464
1502193133,2.464
1502193371,2.453
1502193611,2.453
1502193850,2.453
1502194089,2.453
1502194328,2.464
1502194567,2.464
1502194806,2.464
1502195045,2.464
1502195284,2.464
1502195523,2.464
1502195762,2.453
1502196001,2.464
1502196241,2.607
1502196479,2.233
1502196719,2.233
1502196958,2.244
1502197196,2.244
1502197436,2.233
1502197674,2.244
1502197914,2.244
1502198153,2.233
1502198391,2.233
1502198631,2.233
1502198870,2.244
1502199109,2.233
1502199348,2.233
1502199587,2.233
1502199826,2.233
1502200066,2.233
1502200304,2.233
1502200544,2.222
1502200782,2.233
1502201022,2.233
1502201261,2.233
1502201500,2.233
1502201739,2.233
1502201978,2.233
1502202217,2.233
1502202456,2.244
1502202695,2.233
1502202934,2.233
1502203173,2.233
1502203412,2.233
1502203651,2.233
1502203891,2.233
1502204129,2.233
1502204369,2.233
1502204607,2.233
1502204847,2.233
1502205086,2.233
1502205324,2.233
1502205564,2.233
1502205802,2.233
1502206042,2.233
1502206092,1.353
1502206307,2.244
1502206546,2.233
1502206785,2.233
1502207024,2.233
1502207263,2.233
1502207502,2.233
1502207742,2.233
1502207980,2.233
1502208220,2.233
1502208458,2.233
1502208697,2.233
1502208937,2.233
1502209175,2.244
1502209415,2.233
1502209654,2.233
1502209893,2.233
1502210132,2.233
1502210371,2.233
1502210610,2.233
1502210850,2.233
1502211088,2.233
1502211327,2.233
1502211566,2.233
1502211805,2.255
1502212045,2.233
1502212283,2.233
1502212523,2.233
1502212762,2.233
1502213000,2.233
1502213240,2.233
1502213479,2.233
1502213718,2.244
1502213957,2.233
1502214196,2.233
1502214435,2.233
1502214674,2.222
1502214913,2.233
1502215153,2.233
1502215391,2.233
1502215630,2.233
1502215870,2.233
1502216108,2.233
1502216348,2.233
1502216586,2.233
1502216826,2.233
1502217065,2.233
1502217304,2.233
1502217543,2.233
1502217782,2.233
1502218021,2.233
